,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
0,3,10,20,3,8,41,11,11,6,35,95,1,6,5,5,1,5,1,4,0
1,2,6,5,2,4,1,7,15,38,11,1,3,5,11,0,10,8,24,9,4
2,7,14,7,2,7,15,2,4,7,1,0,62,5,10,5,5,5,4,9,2
3,46,6,4,1,1,2,5,7,3,3,0,3,0,7,15,66,15,8,10,28
4,3,51,51,83,64,15,46,9,8,0,1,5,45,7,26,2,1,1,4,8
5,1,1,4,1,2,3,2,6,6,6,0,3,5,7,14,1,4,2,13,13
6,8,0,2,0,4,2,14,11,10,6,0,5,13,7,10,2,16,14,10,6
7,3,5,3,2,5,11,3,15,7,10,0,13,4,9,4,3,21,11,15,21
8,11,2,2,3,2,5,3,6,9,15,3,4,4,26,2,1,4,23,7,9
9,16,5,2,3,3,5,7,16,6,13,0,1,13,11,19,9,21,12,19,9
