,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
0,47,1,2,2,1,1,3,4,12,1,0,1,1,4,3,20,5,48,4,18
1,1,62,57,87,70,19,69,10,37,6,1,10,40,9,6,0,2,2,2,2
2,4,8,12,1,11,22,5,8,8,2,2,3,18,11,12,1,16,2,4,5
3,8,4,11,1,4,41,2,2,1,0,0,5,2,1,38,1,5,22,7,8
4,7,2,0,0,1,0,3,14,3,3,0,6,2,29,3,2,43,4,31,34
5,7,13,7,1,2,2,8,19,7,1,0,7,12,18,3,7,6,3,25,0
6,1,0,2,2,3,2,3,6,9,86,95,1,2,1,0,3,1,1,4,1
7,21,0,1,0,0,3,1,15,8,0,0,4,5,12,6,60,6,4,3,27
8,2,8,7,4,5,7,3,17,7,1,0,0,10,11,19,3,7,2,8,1
9,2,2,1,2,3,3,3,5,8,0,2,63,8,4,10,3,9,12,12,4
