,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
0,8,1,1,0,0,1,1,0,2,1,0,0,1,0,1,2,6,6,7,9
1,0,0,2,2,2,4,2,2,2,3,8,4,3,4,6,1,3,1,1,1
2,2,1,0,1,3,1,2,2,2,12,6,2,0,4,8,4,4,1,6,1
3,0,1,2,1,0,2,2,6,3,2,0,2,5,1,5,18,7,18,6,8
4,5,1,1,1,2,1,3,5,5,0,0,1,0,4,0,2,1,3,4,3
5,5,1,1,0,0,3,0,5,3,6,7,6,1,2,2,1,13,7,4,2
6,1,4,1,0,1,1,0,2,2,0,2,3,4,3,2,3,4,2,5,4
7,0,0,0,0,3,1,2,10,8,3,3,3,4,1,2,0,2,2,1,3
8,2,12,34,64,49,11,33,2,3,4,2,1,13,2,1,1,0,1,4,0
9,3,3,4,1,1,4,1,3,1,6,3,1,6,2,2,4,1,1,4,5
10,0,2,0,2,0,1,3,1,9,2,0,1,2,5,0,1,1,7,4,1
11,1,1,0,0,1,1,1,0,2,1,2,3,0,8,2,1,0,0,0,1
12,2,4,1,3,1,0,2,2,0,6,2,8,3,3,4,3,6,1,2,2
13,1,1,3,0,4,4,1,7,1,0,4,3,3,4,15,2,1,0,0,1
14,9,2,3,3,5,2,2,4,3,5,2,10,3,4,9,2,10,2,3,1
15,0,15,8,2,2,19,3,4,5,8,11,0,3,4,0,2,1,1,0,2
16,3,3,7,0,0,2,2,5,1,4,2,0,4,4,1,3,3,8,1,3
17,7,2,1,0,1,0,2,4,1,0,1,2,2,1,3,4,2,0,2,5
18,1,7,7,2,3,5,8,3,6,3,5,1,7,6,4,4,4,5,3,3
19,4,1,4,7,4,7,5,2,7,4,8,3,6,7,4,2,4,4,4,3
20,5,1,2,0,1,1,1,2,3,2,1,1,8,1,2,4,2,0,7,4
21,10,4,0,2,1,2,0,12,2,2,4,3,1,4,2,8,9,5,8,12
22,4,1,0,2,0,5,5,4,2,1,3,2,2,1,1,5,0,3,2,3
23,8,0,0,0,1,3,0,1,3,5,1,2,1,4,2,8,0,10,1,3
24,6,0,3,2,3,1,7,0,3,1,1,3,0,4,6,2,1,0,3,10
25,7,3,1,0,2,1,1,3,1,2,1,2,5,3,9,1,2,0,11,2
26,1,3,0,0,6,1,5,6,16,8,19,0,2,1,3,2,0,0,1,1
27,0,4,2,1,1,1,1,1,1,7,2,13,2,3,0,2,1,0,1,3
28,3,2,0,0,0,0,2,2,1,0,0,3,0,5,0,6,7,6,5,3
29,2,20,12,4,3,15,3,0,2,2,0,17,9,5,4,2,5,6,0,1
