,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
0,3,1,0,1,1,1,1,4,5,2,0,4,8,3,3,0,13,11,5,1
1,5,2,0,0,2,6,3,0,0,9,8,2,3,4,4,2,7,5,9,6
2,8,6,0,2,0,3,2,9,4,0,1,5,8,10,49,7,16,1,7,9
3,11,2,0,0,0,1,2,0,3,2,1,3,1,11,3,7,8,21,5,7
4,19,6,0,3,8,3,4,3,4,2,1,2,6,5,3,8,1,0,2,21
5,9,2,5,0,2,1,7,1,6,17,12,4,7,1,4,30,4,9,5,9
6,4,1,1,0,1,1,5,49,31,0,12,6,5,21,7,2,19,1,16,6
7,3,3,7,0,2,7,2,1,2,12,0,0,8,3,0,5,1,4,2,1
8,14,23,17,2,0,10,4,3,5,7,7,6,5,7,2,1,4,0,5,8
9,0,2,0,0,1,4,5,3,5,2,3,18,10,5,12,3,4,5,12,5
10,2,0,0,0,1,2,7,5,20,18,17,32,5,3,3,0,7,0,8,1
11,1,34,64,90,77,17,54,10,7,4,1,8,26,0,2,0,0,1,3,1
12,2,17,2,2,3,42,3,2,4,9,30,7,5,14,2,9,5,0,2,2
13,14,1,2,0,1,1,0,3,2,1,0,2,2,0,5,9,5,38,8,7
14,5,0,2,0,1,1,1,7,2,15,7,1,1,13,1,17,6,4,11,16
