,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
0,7,1,2,0,2,0,3,7,13,1,1,1,5,5,4,17,3,1,3,5
1,0,2,1,4,1,1,1,1,0,2,1,1,6,1,10,2,3,3,0,1
2,4,0,2,1,0,1,6,5,5,74,90,1,4,4,0,3,2,0,4,0
3,5,0,0,0,0,1,0,2,3,0,0,3,2,4,21,8,4,18,11,10
4,0,1,3,5,4,0,3,5,6,2,1,1,1,16,4,1,2,2,17,4
5,2,3,1,0,1,1,1,2,1,2,1,6,0,8,1,1,29,0,20,16
6,2,5,3,3,3,0,9,6,9,0,0,2,5,2,1,3,4,2,1,1
7,9,2,0,2,0,0,0,2,1,1,1,0,2,5,1,4,4,19,7,5
8,1,2,3,0,3,0,5,5,9,5,0,4,1,1,0,2,2,2,1,1
9,9,2,0,0,4,0,6,0,6,1,0,0,2,5,9,0,21,5,3,0
10,2,53,55,32,16,75,18,4,5,0,1,13,10,3,4,1,1,5,2,2
11,4,16,21,49,51,10,29,17,6,1,0,2,12,1,21,2,1,1,1,6
12,0,1,3,0,0,1,2,5,8,0,2,3,4,4,1,7,6,0,7,3
13,15,0,3,0,0,5,0,3,2,3,0,2,4,3,1,17,2,7,0,14
14,11,5,1,0,3,0,4,2,0,1,1,8,3,5,8,10,6,3,6,16
15,2,1,0,0,0,0,4,19,8,2,0,31,9,4,3,3,0,0,1,1
16,2,2,0,0,0,0,0,7,1,0,0,1,5,8,2,3,2,28,5,1
17,9,1,2,2,4,2,3,3,6,0,0,1,12,5,6,15,1,0,3,5
18,12,0,0,1,4,1,5,4,11,5,0,0,5,1,0,1,1,1,2,3
19,4,3,0,1,4,2,1,1,0,0,1,20,8,15,3,0,6,3,6,6
